Well_Name,X-world_co,Y-world_co,Start_Time,Stop_Time[,Rate[m^3/d,Number_of_,Screen_Top,Screen_Bot
VAZAR494,292182.130000000004657,9105647.599999999627471,0.000000000000000,1.000000000000000,-7.279759000000000,1,6.735391000000000,-32.951078000000003
HRIII_7150,292220.000000000000000,9105575.000000000000000,0.000000000000000,1.000000000000000,-40.000000000000000,1,-36.010598000000002,-183.860909999999990
VAZAR495,292278.260000000009313,9105620.099999999627471,0.000000000000000,1.000000000000000,-7.279759000000000,1,7.090798000000000,-33.359299999999998
HRIII_7121,292434.989999999990687,9105576.000000000000000,0.000000000000000,1.000000000000000,-40.000000000000000,1,-38.839877000000001,-184.408289999999994
VAZAR496,292374.390000000013970,9105592.500000000000000,0.000000000000000,1.000000000000000,-7.279759000000000,1,6.677021000000000,-28.790288000000000
HRIII_7296,292527.000000000000000,9105546.000000000000000,0.000000000000000,1.000000000000000,-40.000000000000000,1,-42.539785000000002,-185.367770000000007
VAZAR497,292470.510000000009313,9105564.900000000372529,0.000000000000000,1.000000000000000,-7.279759000000000,1,6.217856000000000,-32.648682000000001
VAZAR498,292566.640000000013970,9105537.400000000372529,0.000000000000000,1.000000000000000,-7.279759000000000,1,5.908608000000000,-36.849746000000003
3075-P_04,292680.000000000000000,9105485.000000000000000,0.000000000000000,1.000000000000000,-44.000000000000000,1,-49.690942999999997,-187.971949999999993
4187-P_08,292604.840000000025611,9105448.599999999627471,0.000000000000000,1.000000000000000,-15.000000000000000,1,4.218897000000000,-45.239300000000000
VAZAR499,292662.760000000009313,9105509.800000000745058,0.000000000000000,1.000000000000000,-7.279759000000000,1,3.950712000000000,-45.030804000000003
VAZAR500,292758.890000000013970,9105482.199999999254942,0.000000000000000,1.000000000000000,-7.279759000000000,1,1.479714000000000,-49.753922000000003
VAZAR501,292855.020000000018626,9105454.699999999254942,0.000000000000000,1.000000000000000,-7.128595000000000,1,-0.352077000000000,-50.875765999999999
4795-P_10,292171.080000000016298,9105517.099999999627471,0.000000000000000,1.000000000000000,-10.000000000000000,1,6.577470000000000,-27.203447000000001
